avg_daily_traffic,spans_units,structure_length[ft],age,deck_area[ft2],mile_point,latitude,longitud,approach_span_units,approach_width[ft],skew_angle[o],nav_vert_clearance,nav_horiz_clearance,route_horiz_clearance,lengt_max_span[ft],left_curb_width[ft],right_curb_width[ft],roadway_curb_curb_width,min_vert_clearance_over,min_vert_underclearance,min_right_underclearance,min_left_underclearance,min_clearance_lift_brige,operating_rating[us-tons],inventory_rating[us-tons],detour_dist,avg_daily_truck_traffic,avg_daily_future_traffic,length_improvement,improvement_cost,road_improvement_cost,total_project_cost,avg_daily_truck_traffic[computed],avg_rel_humidity,avg_temperature,max_temperature,mean_wind_speed,min_temperature,days_measurable_precipitation,days_temp_below_0C,wind_direction,time_wetness,total_precipitation,inspection_month,inspection_year,historical_code,condition_rate,structural_appraisal,approach_alignment_appraisal,operating_rating_code,inventory_rating_code,condition_code
13080.0,21,1313.0,52,45231.0,5.0,31.95155,-81.08351,0,26.9,45,22.9,38.7,27.9,69.9,2.3,2.3,27.9,99.98999786,0.0,0.0,0.0,0.0,70.0,42.0,98.8,1,19620,0.0,5130.0,513.0,7695.0,131.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Fair,6,8,1,1,6
320.0,8,160.1,39,4254.8,0.0,31.93041,-81.09249,0,19.0,0,0.0,0.0,24.0,20.0,0.0,0.0,24.0,99.98999786,0.0,0.0,0.0,0.0,48.9,29.0,98.8,1,480,0.0,625.0,63.0,938.0,3.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Fair,6,8,1,1,6
1000.0,2,65.0,42,2855.9,0.0,30.79842,-81.5335,0,24.0,0,0.0,0.0,41.0,31.5,0.0,0.0,41.0,29.5,0.0,0.0,0.0,,103.7,62.1,199.0,40,1200,65.0,49.0,4.0,53.0,400.0,,,,,,0,0,,,,5,2017,5,Fair,5,8,1,1,5
2.0,2,22.0,41,375.0,0.0,30.77422,-81.54433,0,16.1,0,0.0,0.0,13.1,11.2,0.0,0.0,13.1,99.98999786,0.0,0.0,0.0,,60.6,36.4,6.2,20,4,22.0,4.0,9.0,13.0,0.0,,,,,,0,0,,,,5,2017,5,Good,7,7,1,1,7
13400.0,13,325.1,62,10240.3,2.0,31.18572,-81.38868,0,23.0,0,0.0,0.0,24.0,24.9,2.6,2.6,24.0,99.98999786,0.0,0.0,0.0,0.0,39.9,23.9,3.1,1,20100,536.1,1270.0,127.0,1905.0,134.0,,,,,,0,0,,,,11,2018,5,Good,5,8,1,1,7
10.0,4,99.1,41,4355.9,0.0,30.79647,-81.53725,0,45.9,0,0.0,0.0,40.7,24.0,0.0,0.0,40.7,99.98999786,0.0,0.0,0.0,,110.1,84.1,4.3,10,15,99.1,16.0,10.0,26.0,1.0,,,,,,0,0,,,,5,2017,5,Fair,7,8,1,1,6
600.0,2,29.9,31,803.2,1.0,30.73995,-81.56116,0,19.0,0,0.0,0.0,24.0,15.1,3.9,0.0,24.3,99.98999786,0.0,0.0,0.0,0.0,34.9,21.9,1.9,1,900,0.0,117.0,12.0,176.0,6.0,,,,,,0,0,,,,5,2017,5,Fair,5,8,1,1,5
2280.0,3,120.1,38,4294.2,1.0,31.93663,-81.10296,0,24.9,30,0.0,0.0,31.8,40.0,0.0,0.0,32.2,99.98999786,0.0,0.0,0.0,0.0,84.0,43.0,98.8,1,3420,0.0,469.0,47.0,703.0,23.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,9,2018,5,Good,7,8,1,1,7
22220.0,3,206.0,17,9193.2,2.0,31.99003,-81.08321,0,42.0,0,0.0,0.0,41.0,131.9,0.0,0.0,41.3,99.98999786,19.3,19.4,0.0,0.0,74.0,45.0,1.2,4,33330,0.0,805.0,80.0,1207.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,2,2,7
22220.0,3,212.9,19,9500.6,4.0,32.00064,-81.07912,0,42.0,0,0.0,0.0,41.0,121.1,0.0,0.0,41.3,99.98999786,17.7,19.4,0.0,0.0,61.0,35.9,1.2,4,33330,0.0,832.0,83.0,1248.0,889.0,76.0,20.0,35.7,1.0,-0.8,126,3,168.83,4432.0,1557.81,8,2018,5,Good,7,8,2,2,7
